,date,user_id,text,like,tag,pp_text,like_point
785,2019-04-23T21:45:29.000Z,kitchentwins,👋,67주좋아요 1개답글 달기,,, 1
786,2019-02-20T14:03:39.000Z,namkung_leo,Kimbugak&scampi&oystercream \ Tmt #bugak #koreanpuffednori #snack #tomatoes,77주,#bugak #koreanpuffednori #snack #tomatoes,Kimbugak scampi oystercream Tmtbugakkoreanpuffednorisnacktomatoes,0
787,2019-02-20T14:03:39.000Z,yeriel.o,김부각 맛있겠다...,77주답글 달기,,,0
788,2019-09-10T06:34:26.000Z,nalzomboso3579,#seaweed crisps#vegetable chips#Vegan crisps#USDA#김부각#kimbugak#Bugak #오희숙전통부각#식품명인25호 부각명인,48주,#seaweed #오희숙전통부각#식품명인25호,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,0
789,2018-08-06T08:05:03.000Z,elaia_hk,"Have you seen Hwasa’s Kim Bugak (Seaweed Crisp) Mukbang? We’ll tell you where you could get those Bugak in HK!Enjoy the tasty, crispy and ORGANIC Bugak and join the BUGAK BOOM! 有冇睇過華莎直播食炸紫菜呢?等我地話你知係香港邊到有得買喇!一齊享受香脆可口嘅紫菜喇!#韓國 #韓國零食 #零食 #健康 #健康小食 #紫菜 #炸紫菜 #無農藥 #純天然 #無添加 #Mamamoo #Hwasa #ILiveAlone #Bugak #Seaweed #Crisp #Organic #Healthy #Natural #Premium #Korean #Traditional #Snack #OhHeeSuk #KimBugak #Laver #Elaia_HK #김부각 #오희숙전통부각 #seaweedbugak",105주,#韓國零食 #零食 #健康 #健康小食 #紫菜 #炸紫菜 #無農藥 #純天然 #無添加 #Mamamoo #Hwasa #ILiveAlone #Bugak #Seaweed #Crisp #Organic #Healthy #Natural #Premium #Korean #Traditional #Snack #OhHeeSuk #KimBugak #Laver #Elaia_HK #김부각 #오희숙전통부각 #seaweedbugak,Have you seen Hwasa s Kim BugakSeaweed CrispMukbangWe ll tell you where you could get those Bugak in HK Enjoy the tastycrispy and ORGANIC Bugak and join the BUGAK BOOMMamamooHwasaILiveAloneBugakSeaweedCrispOrganicHealthyNaturalPremiumKoreanTraditionalSnackOhHeeSukKimBugakLaverElaia HKseaweedbugak,0
790,2016-04-17T03:25:50.000Z,catty341990,Pesta teman angkatat 2009#bugak mesjid krueng panjo#tgl 16-4-2016,225주,,Pesta teman angkatat 2009 bugak mesjid krueng panjo tgl 16 4 2016,0
791,2016-04-17T03:25:50.000Z,cutmanyak_asnawi,"Eh, da saia ternyata @catty341990",185주답글 달기,,Ehda saia ternyatacatty341990,0
792,2016-04-17T03:25:50.000Z,catty341990,"Hahaha em ada buk,, ibu aja yg tdk sadaar",185주답글 달기,,Hahaha em ada buk ibu aja yg tdk sadaar,0
793,2016-11-22T11:13:42.000Z,stockholmandtheworld,Feels like time travel #gyeongbokgung #palace #hanbok #seoul #korea #travelkorea #asia #hanbok #bugak,194주,#gyeongbokgung #palace #hanbok #seoul #korea #travelkorea #asia #hanbok #bugak,Feels like time travelgyeongbokgungpalacehanbokseoulkoreatravelkoreaasiahanbokbugak,0
794,2016-11-22T11:13:42.000Z,mz_fit_stizz,😎,194주답글 달기,,,0
